date,IE,Chrome,Firefox,Safari,Opera
13/10/11,-41.62,22.36,25.58,9.13,1.22
14/10/11,41.95,22.15,25.78,8.79,1.25
15/10/11,37.64,24.77,25.96,10.16,1.39
16/10/11,37.27,24.65,25.98,10.59,1.44
17/10/11,42.74,21.87,25.01,9.12,1.17
18/10/11,42.14,22.22,25.26,9.1,1.19
19/10/11,41.92,22.42,25.3,9.07,1.21
20/10/11,42.41,22.08,25.28,8.94,1.18
21/10/11,42.74,22.23,25.19,8.5,1.25
22/10/11,36.95,25.45,26.03,10.06,1.42
23/10/11,37.52,24.73,25.79,10.46,1.43
24/10/11,42.69,22.14,24.95,8.98,1.15
25/10/11,42.31,22.26,25.1,9.04,1.2
26/10/11,42.22,22.28,25.17,9.08,1.16
27/10/11,42.62,22.36,24.98,8.8,1.15
28/10/11,42.76,22.36,25.05,8.55,1.19
29/10/11,38.92,24.36,25.34,9.99,1.3
30/10/11,38.06,24.58,25.63,10.26,1.39
31/10/11,42.1,22.45,25.18,8.97,1.2
01/11/11,41.05,23,25.51,9.14,1.21
02/11/11,41.26,23.22,25.22,9.03,1.18
03/11/11,41.21,23.5,24.99,9.01,1.2
04/11/11,41.64,23.21,25.05,8.78,1.23
05/11/11,37.13,25.68,25.46,10.29,1.35
06/11/11,35.97,25.88,25.85,10.78,1.43
07/11/11,41.41,23.06,24.95,9.33,1.17
08/11/11,41.69,23.09,24.86,9.1,1.17
09/11/11,41.32,23.11,25.13,9.12,1.22
10/11/11,41.3,23.33,25.12,8.92,1.24
11/11/11,40.68,23.8,25.24,8.96,1.23
12/11/11,37.02,26.11,25.4,10.09,1.3
13/11/11,36.95,25.88,25.48,10.27,1.34
14/11/11,41.76,23.15,24.82,9.05,1.14
15/11/11,41.54,23.17,24.96,9.09,1.16
16/11/11,41.88,23.1,24.88,8.87,1.18
17/11/11,42.07,22.97,24.94,8.75,1.19
18/11/11,42.26,22.97,25.02,8.44,1.21
19/11/11,37.89,25.56,25.29,9.87,1.32
20/11/11,37.22,25.34,25.6,10.37,1.4
21/11/11,42.06,22.93,24.9,8.87,1.15
22/11/11,42.27,23,24.83,8.65,1.17
23/11/11,41.64,23.48,24.99,8.59,1.22
24/11/11,40.29,24.33,25.28,8.64,1.35
25/11/11,40.75,23.67,25.34,8.83,1.3
26/11/11,38.82,24.92,24.88,10.03,1.27
27/11/11,38,25.17,25.26,10.1,1.37
28/11/11,42.31,22.51,24.82,9.1,1.17
29/11/11,41.85,22.91,24.99,8.93,1.22
30/11/11,41.19,23.4,25.06,9.11,1.16
01/12/11,41.25,23.61,24.98,8.95,1.12
02/12/11,40.63,24.04,25.39,8.67,1.16
03/12/11,36.95,26.13,25.46,10.06,1.32
04/12/11,36.83,25.8,25.44,10.49,1.35
05/12/11,40.85,23.78,24.95,9.16,1.17
06/12/11,41.04,23.61,24.94,9.14,1.18
07/12/11,41.42,23.73,24.72,8.84,1.2
08/12/11,40.92,23.74,25.07,8.94,1.24
09/12/11,40.98,23.59,25.34,8.76,1.24
10/12/11,36.85,25.92,25.35,10.44,1.35
11/12/11,36.54,25.19,26.65,10.18,1.35
12/12/11,39.77,23.35,26.74,8.91,1.15
13/12/11,41.39,23.39,24.98,8.95,1.21
14/12/11,41.09,23.64,25.01,8.96,1.21
15/12/11,40.58,24.14,25.16,8.79,1.24
16/12/11,41,23.93,25.13,8.58,1.27
17/12/11,37.11,26.12,25.24,10.02,1.43
18/12/11,37.19,25.81,25.32,10.14,1.45
19/12/11,40.62,24.31,24.95,8.8,1.23
20/12/11,40.6,24.09,25.16,8.79,1.28
21/12/11,40.49,24.48,25.03,8.64,1.27
22/12/11,39.92,24.75,25.24,8.69,1.3
23/12/11,39.83,25.09,24.92,8.7,1.37
24/12/11,39.02,25.65,24.09,9.73,1.43
25/12/11,38.62,25.8,24.36,9.56,1.57
26/12/11,40.12,25.1,24.33,9.03,1.35
27/12/11,41.76,24.06,24.18,8.68,1.24
28/12/11,41.71,24.17,24.17,8.63,1.24
29/12/11,41.89,24.15,24.04,8.6,1.23
30/12/11,41.23,24.41,24.15,8.86,1.27
31/12/11,40.41,24.61,23.95,9.7,1.24
01/01/12,39.01,24.9,24.48,10.24,1.3
02/01/12,40.19,24.5,24.34,9.75,1.15
03/01/12,42,23.77,24.17,8.88,1.11
04/01/12,41.69,24.04,24.28,8.77,1.13
05/01/12,41.13,24.44,24.39,8.79,1.16
06/01/12,41.27,24.48,24.34,8.62,1.21
