Close Price,High Price,Low Price,Open Price,Date
587.41,590,583.1,583.4,2012-06-19
585.741,589.25,580.8,588.21,2012-06-20
577.67,588.22,577.44,585.44,2012-06-21
582.1,582.19,575.42,579.04,2012-06-22
570.765,579.8,570.37,577.3,2012-06-25
572.025,574.49,567.33,571.33,2012-06-26
574.5,576.74,571.92,575,2012-06-27
569.05,574,565.61,571.67,2012-06-28
584,584,574.25,578,2012-06-29
592.52,593.47,583.6,584.73,2012-07-02
599.41,600,594,594.88,2012-07-03
609.94,614.34,599.65,600.56,2012-07-05
605.88,608.44,601.58,607.09,2012-07-06
613.89,613.9,604.11,605.3,2012-07-09
608.21,619.87,605.31,617.97,2012-07-10
604.43,607.66,597.22,606.12,2012-07-11
598.9,603.47,592.68,600.24,2012-07-12
604.97,607.19,600,602.95,2012-07-13
606.91,611.62,605.02,605.12,2012-07-16
606.94,611.5,603.15,610.79,2012-07-17
606.26,608.34,603.56,606.59,2012-07-18
614.32,615.35,606,611.28,2012-07-19
604.3,614.44,603.7,613.03,2012-07-20
603.83,605.9,587.71,594.4,2012-07-23
600.92,609.68,598.51,607.38,2012-07-24
574.97,580.8,570,574.46,2012-07-25
574.88,580.4,570.36,579.76,2012-07-26
585.16,585.83,571.59,575.01,2012-07-27
595.03,599.44,587.82,590.92,2012-07-30
610.76,611.7,602.72,603.23,2012-07-31
606.81,616.4,603,615.905,2012-08-01
607.79,610.69,600.25,602.84,2012-08-02
615.7,617.98,611.56,613.63,2012-08-03
622.55,624.868,615.26,617.29,2012-08-06
620.914,625,618.04,622.77,2012-08-07
619.86,623.88,617.1,619.39,2012-08-08
620.73,621.73,617.8,617.85,2012-08-09
621.7,621.76,618.7,618.71,2012-08-10
630,630,623.25,623.39,2012-08-13
631.69,638.61,630.21,631.87,2012-08-14
630.83,634,627.75,631.3,2012-08-15
636.34,636.76,630.5,631.21,2012-08-16
648.11,648.19,638.81,640,2012-08-17
665.15,665.15,649.9,650.01,2012-08-20
656.062,674.88,650.33,670.82,2012-08-21
668.87,669,648.11,654.42,2012-08-22
662.63,669.9,661.15,666.11,2012-08-23
663.222,669.48,655.55,659.51,2012-08-24
675.68,680.87,673.54,679.99,2012-08-27
674.8,676.1,670.673,674.977,2012-08-28
673.466,677.67,672.6,675.25,2012-08-29
663.868,671.554,662.853,670.64,2012-08-30
665.24,668.6,657.25,667.25,2012-08-31
674.97,675.14,664.5,665.76,2012-09-04
670.23,676.35,669.6,675.57,2012-09-05
676.27,678.29,670.8,673.17,2012-09-06
680.44,682.48,675.77,678.05,2012-09-07
662.74,683.29,662.1,680.45,2012-09-10
660.59,670.1,656.5,665.11,2012-09-11
669.79,669.9,656,666.85,2012-09-12
682.98,685.5,674.77,677.37,2012-09-13
691.28,696.98,687.89,689.955,2012-09-14
699.781,699.8,694.61,699.35,2012-09-17
701.91,702.33,696.42,699.88,2012-09-18
702.1,703.99,699.57,700.26,2012-09-19
698.7,700.06,693.62,699.16,2012-09-20
700.095,705.07,699.362,702.41,2012-09-21
690.79,695.12,683,686.86,2012-09-24
673.54,692.78,673,688.26,2012-09-25
665.18,672.69,661.2,668.74,2012-09-26
681.32,682.17,660.35,664.29,2012-09-27
667.105,681.11,666.75,678.75,2012-09-28
659.39,676.75,656.5,671.16,2012-10-01
661.31,666.35,650.65,661.81,2012-10-02
671.45,671.86,662.63,664.86,2012-10-03
666.8,674.25,665.55,671.25,2012-10-04
652.59,666,651.28,665.2,2012-10-05
638.17,647.56,636.11,646.88,2012-10-08
635.85,640.49,623.55,638.65,2012-10-09
640.91,644.98,637,639.74,2012-10-10
628.1,647.2,628.1,646.5,2012-10-11
629.714,635.38,625.3,629.56,2012-10-12
