1996,2016,value
US,North America,0.7
US,South and Central America,1.5
US,Europe and Eurasia,0.5
US,Middle East,0.5
US,Africa,0.1
US,Asia Pacific,1
US,North America,0.7
South and Central America,North America,6.1
South and Central America,South and Central America,7.6
South and Central America,Europe and Eurasia,3.2
South and Central America,Middle East,1.1
South and Central America,Africa,0.5
South and Central America,Asia Pacific,1.9
Europe and Eurasia,North America,0.2
Europe and Eurasia,South and Central America,1.7
Europe and Eurasia,Europe and Eurasia,4.6
Europe and Eurasia,Middle East,1
Europe and Eurasia,Africa,1.2
Europe and Eurasia,Asia Pacific,15.7
Middle East,South and Central America,1.8
Middle East,Europe and Eurasia,23.8
Middle East,Middle East,5.8
Middle East,Africa,6.4
Middle East,Asia Pacific,84.6
Africa,North America,1.0
Africa,South and Central America,2.8
Africa,Europe and Eurasia,24.2
Africa,Middle East,4.6
Africa,Africa,1.5
Africa,Asia Pacific,11.4
Australia,North America,0.4
Australia,South and Central America,0.1
Australia,Middle East,0.9
Australia,Africa,0.4
Australia,Asia Pacific,55.1
Asia,North America,0.3
Asia,Middle East,0.1
Asia,Africa,0.2
Asia,Asia Pacific,71.9
