name,group,x,y,label
value 1,group I,10,8.04,
value 2,group I,8,6.95,
value 3,group I,13,7.58,
value 4,group I,9,8.81,
value 5,group I,11,8.33,
value 6,group I,14,9.96,
value 7,group I,6,7.24,yes
value 8,group I,4,4.26,
value 9,group I,12,10.84,
value 10,group I,7,4.82,
value 11,group I,5,5.68,
value 12,group II,10,9.14,
value 13,group II,8,8.14,
value 14,group II,13,8.74,
value 15,group II,9,8.77,yes
value 16,group II,11,9.26,
value 17,group II,14,8.1,
value 18,group II,6,6.13,
value 19,group II,4,3.1,
value 20,group II,12,9.13,
value 21,group II,7,7.26,
value 22,group II,5,4.74,
value 23,group III,10,7.46,
value 24,group III,8,6.77,
value 25,group III,13,12.74,
value 26,group III,9,7.11,yes
value 27,group III,11,7.81,
value 28,group III,14,8.84,
value 29,group III,6,6.08,
value 30,group III,4,5.39,
value 31,group III,12,8.15,
value 32,group III,7,6.42,
value 33,group III,5,5.73,
value 34,group IV,8,6.58,
value 35,group IV,8,5.76,
value 36,group IV,8,7.71,
value 37,group IV,8,8.84,
value 38,group IV,8,8.47,
value 39,group IV,8,7.04,
value 40,group IV,8,5.25,
value 41,group IV,19,12.5,
value 42,group IV,8,5.56,
value 43,group IV,8,7.91,
value 44,group IV,8,6.89,
