date,Actual,May 2016 forecast,Aug 2016 forecast,,highlight
31/03/12,8.2,,,,
30/06/12,8.1,,,,
30/09/12,7.9,,,,
31/12/12,7.8,,,,
31/03/13,7.8,,,,
30/06/13,7.7,,,,
30/09/13,7.4,,,,
31/12/13,7.2,,,,
31/03/14,6.6,,,,
30/06/14,6.1,,,,
30/09/14,6,,,,
31/12/14,5.7,,,,
31/03/15,5.5,,,,
30/06/15,5.5,,,,
30/09/15,5.2,,,,
31/12/15,5.1,,,,begin
31/03/16,5.1,5.1,5.1,,
30/06/16,,5.1,4.9,,
30/09/16,,5.1,5,,
31/12/16,,5,5.1,,end
31/03/17,,5,5.1,,
30/06/17,,5,5.3,,
30/09/17,,4.9,5.4,,
31/12/17,,4.9,5.5,,begin
31/03/18,,4.9,5.5,,
30/06/18,,4.9,5.5,,
30/09/18,,4.9,5.6,,
31/12/18,,4.8,5.5,,
31/03/19,,4.8,5.4,,
30/06/19,,4.8,5.3,,
30/09/19,,,5.3,,end
