Close Price,High Price,Low Price,Open Price,Date
123.43,125.12,123.12,124.81,2015-04-01
124.74,125.1,124.31,125.08,2015-04-02
126.2,126.23,124.33,124.49,2015-04-06
127.325,128.12,127.21,127.64,2015-04-07
126,126.39,125.11,125.85,2015-04-08
125.28,126.28,125.07,125.85,2015-04-09
126.21,126.44,125.27,125.93,2015-04-10
128.02,128.57,127.75,128.12,2015-04-13
126.1,127.28,125.92,127.08,2015-04-14
126.39,126.81,126.11,126.46,2015-04-15
126.68,127.09,126.18,126.44,2015-04-16
125.06,126.14,124.89,125.39,2015-04-17
126.28,126.55,125.17,125.57,2015-04-20
126.9,128.19,126.81,128.09,2015-04-21
126.58,127.16,126.32,127,2015-04-22
129.7,129.78,128.14,128.3,2015-04-23
129.87,130.63,129.75,130.43,2015-04-24
132.81,133.12,132,132.32,2015-04-27
130.12,134.54,129.84,134.46,2015-04-28
130.6,131.58,129.81,130.16,2015-04-29
126.49,127.88,126.13,127.49,2015-04-30
